id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B-cells|B-cells	B-cells|CAF	B-cells|Endothelial cells	B-cells|Macrophages	B-cells|NK	B-cells|T-cells	CAF|B-cells	CAF|CAF	CAF|Endothelial cells	CAF|Macrophages	CAF|NK	CAF|T-cells	Endothelial cells|B-cells	Endothelial cells|CAF	Endothelial cells|Endothelial cells	Endothelial cells|Macrophages	Endothelial cells|NK	Endothelial cells|T-cells	Macrophages|B-cells	Macrophages|CAF	Macrophages|Endothelial cells	Macrophages|Macrophages	Macrophages|NK	Macrophages|T-cells	NK|B-cells	NK|CAF	NK|Endothelial cells	NK|Macrophages	NK|NK	NK|T-cells	T-cells|B-cells	T-cells|CAF	T-cells|Endothelial cells	T-cells|Macrophages	T-cells|NK	T-cells|T-cells
CPI-SS0D03910A0	GALR2_GALP	simple:O43603	simple:Q9UBC7	GALR2	GALP	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.0	0.0	0.17813	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09432
CPI-SS0B0E74BC0	GALR1_GALP	simple:P47211	simple:Q9UBC7	GALR1	GALP	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.0	0.0	0.31369	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16413
CPI-SS09C06644C	CADM3_CADM1	simple:Q8N126	simple:Q9BY67	CADM3	CADM1	False	False	False	curated	False	0.62545	1.39484	5.0312	13.19743	4.54696	22.34797	13.5539	14.32329	17.95965	26.12588	17.47541	35.27642	2.31082	3.0802	6.71656	14.88279	6.23232	24.03333	0.70027	1.46965	5.10601	13.27224	4.62177	22.42278	0.0	0.0	0.0	0.0	0.0	0.0	0.75038	1.51976	5.15613	13.32236	4.67189	22.4729
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	1.2353	2.00468	5.64105	13.80728	5.15681	22.95782	2.00468	2.77406	6.41043	14.57666	5.92619	23.7272	5.64105	6.41043	10.0468	18.21303	9.56255	27.36357	13.80728	14.57666	18.21303	26.37926	17.72878	35.5298	5.15681	5.92619	9.56255	17.72878	9.07831	26.87932	22.95782	23.7272	27.36357	35.5298	26.87932	44.68034
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	4.43975	5.20913	8.84549	17.01172	8.36125	26.16226	2.08319	2.85257	6.48894	14.65517	6.0047	23.80571	3.19888	3.96826	7.60463	15.77086	7.12039	24.9214	6.23474	7.00412	10.64049	18.80672	10.15625	27.95726	29.56497	30.33435	33.97071	42.13694	33.48647	51.28748	56.70698	57.47636	61.11273	69.27896	60.62849	78.4295
CPI-SS02D18D12B	CADM3_CADM4	simple:Q8N126	simple:Q8NFZ8	CADM3	CADM4	False	False	False	curated	False	0.01499	0.0	0.93451	0.12309	0.08915	0.05343	12.94344	0.0	13.86296	13.05154	13.0176	12.98188	1.70035	0.0	2.61987	1.80845	1.77451	1.73879	0.0898	0.0	1.00932	0.1979	0.16396	0.12824	0.0	0.0	0.0	0.0	0.0	0.0	0.13992	0.0	1.05943	0.24801	0.21408	0.17836
CPI-SS0B3829651	CADM3_EPB41L1	simple:Q8N126	simple:Q9H4G0	CADM3	EPB41L1	False	False	False	curated	False	0.18325	1.81719	1.55704	0.68403	0.0	0.12788	13.11169	14.74564	14.48549	13.61248	0.0	13.05633	1.86861	3.50255	3.2424	2.36939	0.0	1.81324	0.25806	1.892	1.63185	0.75884	0.0	0.20269	0.0	0.0	0.0	0.0	0.0	0.0	0.30817	1.94212	1.68196	0.80896	0.0	0.2528
CPI-SS0CC5DCE80	CDH1_KLRG1	simple:P12830	simple:Q96E93	CDH1	KLRG1	False	False	True	curated	False	5.41137	2.72853	7.941	5.03585	37.94646	42.83913	10.10802	7.42519	12.63766	9.73251	42.64312	47.53579	4.88446	2.20162	7.41409	4.50894	37.41955	42.31222	4.19125	1.50842	6.72089	3.81574	36.72635	41.61901	4.80728	2.12445	7.33692	4.43177	37.34238	42.23504	5.51372	2.83089	8.04336	5.13821	38.04882	42.94148
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	FGF2	CD44	True	False	True	I2D,InnateDB-All	False	111.7395	123.88738	4.55091	145.94152	172.57042	165.03709	115.14963	127.29751	7.96104	149.35165	175.98055	168.44722	111.62987	123.77775	4.44128	145.83189	172.46079	164.92746	111.51122	123.65909	4.32263	145.71324	172.34213	164.8088	111.52637	123.67425	4.33778	145.72839	172.35729	164.82396	111.79944	123.94732	4.61085	146.00146	172.63036	165.09703
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	SPP1	CD44	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	115.31291	127.46079	8.12432	149.51493	176.14383	168.6105	115.48502	127.63289	8.29643	149.68704	176.31593	168.7826	136.47336	148.62124	29.28477	170.67538	197.30428	189.77095	3195.78286	3207.93074	3088.59427	3229.98488	3256.61378	3249.08045	120.74918	132.89705	13.56059	154.9512	181.58009	174.04676	116.94256	129.09043	9.75397	151.14458	177.77347	170.24014
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	LGALS9	CD44	True	False	True	InnateDB	False	155.37614	167.52402	48.18755	189.57816	216.20706	208.67373	116.48244	128.63032	9.29385	150.68446	177.31336	169.78003	178.14097	190.28885	70.95238	212.34299	238.97189	231.43856	219.8625	232.01037	112.67391	254.06452	280.69341	273.16008	145.30459	157.45246	38.11599	179.50661	206.1355	198.60217	132.09959	144.24747	24.911	166.30161	192.93051	185.39718
CPI-SS03722104E	HGF_CD44	simple:P14210	simple:P16070	HGF	CD44	True	False	True	IMEx,InnateDB-All,IntAct	False	111.94946	124.09734	4.76087	146.15148	172.78038	165.24705	133.63201	145.77989	26.44342	167.83403	194.46293	186.9296	0.0	0.0	0.0	0.0	0.0	0.0	125.98856	138.13644	18.79997	160.19058	186.81948	179.28615	0.0	0.0	0.0	0.0	0.0	0.0	111.73335	123.88122	4.54476	145.93537	172.56426	165.03093
CPI-SS008FB916C	FGF2_FGFR4	simple:P09038	simple:P22455	FGF2	FGFR4	True	False	True	curated	False	0.0	3.33608	0.54955	0.29392	0.0	0.42972	0.0	6.74621	3.95968	3.70405	0.0	3.83985	0.0	3.22645	0.43992	0.18429	0.0	0.32009	0.0	3.1078	0.32127	0.06564	0.0	0.20144	0.0	3.12295	0.33642	0.08079	0.0	0.21659	0.0	3.39602	0.60949	0.35386	0.0	0.48966
CPI-SS0D9366D11	FGF1_FGFR4	simple:P05230	simple:P22455	FGF1	FGFR4	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	3.11026	0.32372	0.06809	0.0	0.20389	0.0	8.50244	5.71591	5.46028	0.0	5.59608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.51467	0.72814	0.4725	0.0	0.60831	0.0	3.40309	0.61656	0.36092	0.0	0.49673
CPI-SS044CF7EAE	TNFRSF10A_FGFR4	simple:O00220	simple:P22455	TNFRSF10A	FGFR4	True	True	True	InnateDB-All	False	0.0	27.61834	24.83181	24.57618	0.0	24.71198	0.0	4.32686	1.54032	1.28469	0.0	1.42049	0.0	15.18325	12.39672	12.14109	0.0	12.27689	0.0	6.88051	4.09397	3.83834	0.0	3.97414	0.0	13.45921	10.67268	10.41705	0.0	10.55285	0.0	20.95385	18.16732	17.91169	0.0	18.04749
CPI-SS0AC594A8E	FGF17_FGFR4	simple:O60258	simple:P22455	FGF17	FGFR4	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.07058	0.28405	0.02841	0.0	0.16422
CPI-SS0D4CA5D92	FGF18_FGFR4	simple:O76093	simple:P22455	FGF18	FGFR4	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1616	1.37507	1.11944	0.0	1.25524	0.0	3.27584	0.48931	0.23368	0.0	0.36948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.13125	0.34472	0.08909	0.0	0.22489
CPI-SS07A03C20F	FGF19_FGFR4	simple:O95750	simple:P22455	FGF19	FGFR4	True	False	True	I2D,IMEx,InnateDB-All	False	0.0	3.07249	0.28596	0.03032	0.0	0.16613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.12166	0.33512	0.07949	0.0	0.21529
CPI-SS02896561C	FGF4_FGFR4	simple:P08620	simple:P22455	FGF4	FGFR4	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06889	0.28236	0.02672	0.0	0.16253
CPI-SS0FA481114	FGF6_FGFR4	simple:P10767	simple:P22455	FGF6	FGFR4	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25569	0.46916	0.21352	0.0	0.34933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS05ECF1933	FGF3_FGFR4	simple:P11487	simple:P22455	FGF3	FGFR4	True	False	True	I2D	False	0.0	3.12814	0.34161	0.08597	0.0	0.22178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.21056	0.42403	0.16839	0.0	0.3042
CPI-SS066347638	FGF5_FGFR4	simple:P12034	simple:P22455	FGF5	FGFR4	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	16.95691	14.17038	13.91474	0.0	14.05055	0.0	30.89619	28.10966	27.85402	0.0	27.98983	0.0	10.85494	8.06841	7.81278	0.0	7.94858	0.0	6.88194	4.09541	3.83977	0.0	3.97558	0.0	14.43741	11.65088	11.39524	0.0	11.53105	0.0	16.16871	13.38217	13.12654	0.0	13.26234
CPI-SS0D95D41D6	FGF7_FGFR4	simple:P21781	simple:P22455	FGF7	FGFR4	True	False	True	I2D	False	0.0	3.23269	0.44616	0.19053	0.0	0.32633	0.0	108.33149	105.54495	105.28932	0.0	105.42512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.24736	0.46083	0.2052	0.0	0.341	0.0	3.26872	0.48219	0.22656	0.0	0.36236	0.0	3.42165	0.63512	0.37949	0.0	0.51529
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	1.44259	38.7802	17.95617	0.85607	1.2266	4.3346	4.85272	42.19033	21.3663	4.2662	4.63673	7.74473	1.33296	38.67057	17.84654	0.74644	1.11697	4.22497	1.2143	38.55192	17.72789	0.62779	0.99832	4.10632	1.22946	38.56707	17.74304	0.64294	1.01347	4.12147	1.50253	38.84014	18.01611	0.91601	1.28654	4.39454
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	1.21676	38.55438	17.73034	0.63024	1.00077	4.10878	6.60895	43.94656	23.12253	6.02243	6.39296	9.50096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.62117	38.95879	18.13476	1.03465	1.40518	4.51319	1.50959	38.84721	18.02318	0.92307	1.2936	4.40161
CPI-SS0467AFD8A	FGF17_FGFR1	simple:O60258	simple:P11362	FGF17	FGFR1	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17708	38.5147	17.69066	0.59056	0.96109	4.0691
CPI-SS0F2C6A4D4	FGF18_FGFR1	simple:O76093	simple:P11362	FGF18	FGFR1	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	2.26811	39.60572	18.78169	1.68159	2.05212	5.16012	1.38235	38.71996	17.89593	0.79583	1.16636	4.27436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23776	38.57537	17.75134	0.65124	1.02177	4.12977
CPI-SS070A3A7E5	FGF19_FGFR1	simple:O95750	simple:P11362	FGF19	FGFR1	True	False	True	IMEx,InnateDB-All	False	1.17899	38.51661	17.69258	0.59247	0.963	4.07101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.22816	38.56578	17.74174	0.64164	1.01217	4.12018
CPI-SS0FFB9E01B	FGF4_FGFR1	simple:P08620	simple:P11362	FGF4	FGFR1	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.17539	38.51301	17.68898	0.58887	0.9594	4.06741
CPI-SS014E486AB	FGF6_FGFR1	simple:P10767	simple:P11362	FGF6	FGFR1	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36219	38.69981	17.87578	0.77567	1.1462	4.25421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03189F5F6	FGF10_FGFR1	simple:O15520	simple:P11362	FGF10	FGFR1	True	False	True	InnateDB-All	False	1.21026	38.54788	17.72385	0.62374	0.99428	4.10228	2.1585	39.49611	18.67208	1.57198	1.94251	5.05051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.29597	38.63359	17.80956	0.70945	1.07998	4.18799
CPI-SS05A94DE17	FGF2_FGFR2	simple:P09038	simple:P21802	FGF2	FGFR2	True	False	True	curated	False	3.64413	2.96026	2.78756	1.81109	2.38092	4.05653	7.05426	6.37039	6.19769	5.22122	5.79105	7.46666	3.5345	2.85063	2.67793	1.70147	2.27129	3.9469	3.41585	2.73198	2.55928	1.58281	2.15264	3.82825	3.431	2.74713	2.57443	1.59796	2.16779	3.8434	3.70407	3.0202	2.8475	1.87103	2.44086	4.11647
CPI-SS04A97448D	FGF1_FGFR2	simple:P05230	simple:P21802	FGF1	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct,MINT	False	3.4183	2.73444	2.56174	1.58527	2.15509	3.83071	8.81049	8.12662	7.95392	6.97746	7.54728	9.2229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.82271	3.13885	2.96615	1.98968	2.55951	4.23512	3.71113	3.02727	2.85457	1.8781	2.44793	4.12354
CPI-SS06B86672A	CD44_FGFR2	simple:P16070	simple:P21802	CD44	FGFR2	True	True	True	InnateDB-All	False	114.84698	114.16312	113.99042	113.01395	113.58378	115.25939	126.99486	126.31099	126.1383	125.16183	125.73165	127.40727	7.65839	6.97453	6.80183	5.82536	6.39519	8.0708	149.049	148.36514	148.19244	147.21597	147.7858	149.46141	175.6779	174.99403	174.82134	173.84487	174.41469	176.09031	168.14457	167.4607	167.28801	166.31154	166.88136	168.55698
CPI-SS0330D939A	FGF17_FGFR2	simple:O60258	simple:P21802	FGF17	FGFR2	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37862	2.69476	2.52206	1.54559	2.11542	3.79103
CPI-SS0F6A7A4DF	FGF18_FGFR2	simple:O76093	simple:P21802	FGF18	FGFR2	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	4.46965	3.78578	3.61308	2.63662	3.20644	4.88205	3.58389	2.90002	2.72732	1.75086	2.32068	3.99629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4393	2.75543	2.58274	1.60627	2.17609	3.85171
CPI-SS0D67110B0	FGF4_FGFR2	simple:P08620	simple:P21802	FGF4	FGFR2	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37693	2.69307	2.52037	1.5439	2.11373	3.78934
CPI-SS08883E9F6	FGF6_FGFR2	simple:P10767	simple:P21802	FGF6	FGFR2	True	False	True	I2D,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.56373	2.87987	2.70717	1.7307	2.30053	3.97614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS06D341996	FGF3_FGFR2	simple:P11487	simple:P21802	FGF3	FGFR2	True	False	True	I2D,InnateDB-All	False	3.43618	2.75232	2.57962	1.60315	2.17298	3.84859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5186	2.83474	2.66204	1.68557	2.2554	3.93101
CPI-SS02FEAF02E	FGF5_FGFR2	simple:P12034	simple:P21802	FGF5	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	17.26495	16.58109	16.40839	15.43192	16.00175	17.67736	31.20423	30.52037	30.34767	29.3712	29.94103	31.61664	11.16299	10.47912	10.30643	9.32996	9.89978	11.5754	7.18998	6.50612	6.33342	5.35695	5.92678	7.60239	14.74545	14.06159	13.88889	12.91242	13.48225	15.15786	16.47675	15.79289	15.62019	14.64372	15.21354	16.88916
CPI-SS0E928B8C8	FGF7_FGFR2	simple:P21781	simple:P21802	FGF7	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	3.54074	2.85687	2.68418	1.70771	2.27753	3.95315	108.63953	107.95566	107.78297	106.8065	107.37632	109.05194	0.0	0.0	0.0	0.0	0.0	0.0	3.55541	2.87154	2.69884	1.72238	2.2922	3.96782	3.57677	2.8929	2.7202	1.74373	2.31356	3.98917	3.7297	3.04583	2.87313	1.89666	2.46649	4.1421
CPI-SS0AECC113F	FGF10_FGFR2	simple:O15520	simple:P21802	FGF10	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	3.4118	2.72794	2.55524	1.57877	2.1486	3.82421	4.36004	3.67617	3.50347	2.527	3.09683	4.77244	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.49751	2.81365	2.64095	1.66448	2.23431	3.90992
CPI-SS0735F5C3A	TIMP1_FGFR2	simple:P01033	simple:P21802	TIMP1	FGFR2	True	False	True	InnateDB-All	False	11.58835	10.90449	10.73179	9.75532	10.32515	12.00076	2901.53706	2900.85319	2900.6805	2899.70403	2900.27385	2901.94947	632.06661	631.38274	631.21004	630.23357	630.8034	632.47901	966.35483	965.67096	965.49827	964.5218	965.09162	966.76724	66.79975	66.11589	65.94319	64.96672	65.53655	67.21216	32.46057	31.7767	31.60401	30.62754	31.19736	32.87298
CPI-SS04640F9C3	TFF1_FGFR2	simple:P04155	simple:P21802	TFF1	FGFR2	True	False	True	IMEx,InnateDB-All,MINT	False	3.78698	3.10312	2.93042	1.95395	2.52378	4.19939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.46715	2.78329	2.61059	1.63412	2.20394	3.87956	4.19935	3.51549	3.34279	2.36632	2.93615	4.61176	3.41744	2.73357	2.56087	1.58441	2.15423	3.82984
CPI-SS0DC322B61	ROS1_FGFR2	simple:P08922	simple:P21802	ROS1	FGFR2	True	True	True	I2D	False	3.48094	2.79707	2.62438	1.64791	2.21773	3.89335	5.67669	4.99283	4.82013	3.84366	4.41349	6.0891	3.51127	2.8274	2.6547	1.67824	2.24806	3.92368	3.38263	2.69877	2.52607	1.5496	2.11942	3.79504	0.0	0.0	0.0	0.0	0.0	0.0	3.41881	2.73494	2.56224	1.58577	2.1556	3.83121
CPI-SS0348DB5E3	FGFR1_FGFR2	simple:P11362	simple:P21802	FGFR1	FGFR2	True	True	True	InnateDB-All	False	4.55007	3.86621	3.69351	2.71704	3.28686	4.96248	41.88769	41.20382	41.03112	40.05465	40.62448	42.30009	21.06365	20.37979	20.20709	19.23062	19.80045	21.47606	3.96355	3.27969	3.10699	2.13052	2.70034	4.37596	4.33408	3.65022	3.47752	2.50105	3.07087	4.74649	7.44209	6.75822	6.58552	5.60905	6.17888	7.85449
